symbol,variant,mode,status,oosStartUtc,firstIncludedEntryUtc,lastIncludedExitUtc,durationYears,tradeCount,tradesPerYear,totalReturnPct,cagrPct,averageTradeReturnPct,sampleStdDevTradeReturnPct,downsideDeviationPct,winRatePct,bestTradePct,worstTradePct,sharpeRatioAnnualizedTradeFrequency,sortinoRatioAnnualizedTradeFrequency,maxDrawdownPct,calmarRatioCagrOverAbsoluteMaxDrawdown,ulcerIndexPct,cvar95Pct,cvar95TailTradeCount,cvar99Pct,cvar99TailTradeCount
BTC,A,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-02,2026-08-17,1.464294,58,39.6095,-0.2932,-0.2003,0.2245,7.3298,2.2514,18.97,34.1248,-4.8504,0.1928,0.6276,-25.6334,-0.0078,14.0095,-4.6743,3,-4.8504,1
BTC,B,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-24,2026-08-17,1.464294,33,22.5365,33.9695,22.1055,1.2184,8.8398,2.1036,18.18,34.1248,-3.5849,0.6543,2.7496,-17.1003,1.2927,7.4721,-3.4776,2,-3.5849,1
ETH,A,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-19,2026-08-12,1.449236,64,44.1612,6.3832,4.3621,0.644,11.7046,3.4297,20.31,58.2355,-7.7898,0.3657,1.2479,-37.7807,0.1155,22.4721,-6.2613,4,-7.7898,1
ETH,B,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-28,2026-08-12,1.449236,37,25.5307,38.7707,25.3684,1.6143,13.6436,3.3471,16.22,58.2355,-6.0353,0.5978,2.4369,-39.3882,0.6441,18.6639,-5.9863,2,-6.0353,1
SOL,A,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-02,2026-08-17,1.462469,62,42.3941,-33.3814,-24.2506,-0.263,9.7813,3.7384,22.58,54.0112,-8.6643,-0.175,-0.458,-38.0832,-0.6368,24.0308,-6.8011,4,-8.6643,1
SOL,B,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-28,2026-08-17,1.462469,38,25.9835,-20.0942,-14.2201,-0.0587,11.5884,3.9899,21.05,54.0112,-8.0717,-0.0258,-0.075,-47.808,-0.2974,27.968,-7.7444,2,-8.0717,1
BNB,A,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-15,2026-07-27,1.405886,62,44.1003,-22.3814,-16.491,-0.1659,7.5952,2.9479,22.58,44.097,-10.2213,-0.1451,-0.3737,-42.2996,-0.3899,23.5071,-7.7022,4,-10.2213,1
BNB,B,ENTRY_ATTRIBUTION,OK,2025-03-01,2025-03-24,2026-07-26,1.40178,38,27.1084,5.0651,3.5877,0.3681,7.526,2.5441,23.68,36.9458,-8.4438,0.2547,0.7534,-27.6544,0.1297,15.5005,-6.106,2,-8.4438,1
BTC,A,EXIT_REALIZATION,OK,2025-03-01,2025-02-24,2026-08-17,1.476158,59,39.9686,0.4612,0.3122,0.2335,7.2667,2.2322,20.34,34.1248,-4.8504,0.2032,0.6614,-25.6334,0.0122,13.8902,-4.6743,3,-4.8504,1
BTC,B,EXIT_REALIZATION,OK,2025-03-01,2025-03-24,2026-08-17,1.464294,33,22.5365,33.9695,22.1055,1.2184,8.8398,2.1036,18.18,34.1248,-3.5849,0.6543,2.7496,-17.1003,1.2927,7.4721,-3.4776,2,-3.5849,1
ETH,A,EXIT_REALIZATION,OK,2025-03-01,2025-02-25,2026-08-12,1.460187,65,44.5148,30.3705,19.9167,0.981,11.9264,3.4032,21.54,58.2355,-7.7898,0.5488,1.9233,-37.7807,0.5272,22.2985,-6.2613,4,-7.7898,1
ETH,B,EXIT_REALIZATION,OK,2025-03-01,2025-03-28,2026-08-12,1.449236,37,25.5307,38.7707,25.3684,1.6143,13.6436,3.3471,16.22,58.2355,-6.0353,0.5978,2.4369,-39.3882,0.6441,18.6639,-5.9863,2,-6.0353,1
SOL,A,EXIT_REALIZATION,OK,2025-03-01,2025-02-01,2026-08-17,1.536847,63,40.993,-14.279,-9.5391,0.1964,10.3644,3.7086,23.81,54.0112,-8.6643,0.1213,0.339,-38.0832,-0.2505,23.8393,-6.8011,4,-8.6643,1
SOL,B,EXIT_REALIZATION,OK,2025-03-01,2025-03-28,2026-08-17,1.462469,38,25.9835,-20.0942,-14.2201,-0.0587,11.5884,3.9899,21.05,54.0112,-8.0717,-0.0258,-0.075,-47.808,-0.2974,27.968,-7.7444,2,-8.0717,1
BNB,A,EXIT_REALIZATION,OK,2025-03-01,2025-02-24,2026-07-27,1.41775,63,44.4366,-19.45,-14.1493,-0.1033,7.55,2.9244,23.81,44.097,-10.2213,-0.0912,-0.2355,-42.2996,-0.3345,23.3198,-7.7022,4,-10.2213,1
BNB,B,EXIT_REALIZATION,OK,2025-03-01,2025-03-24,2026-07-26,1.40178,38,27.1084,5.0651,3.5877,0.3681,7.526,2.5441,23.68,36.9458,-8.4438,0.2547,0.7534,-27.6544,0.1297,15.5005,-6.106,2,-8.4438,1
