don_len,atr_mult,final_eq,trades,win_rate,max_dd
10,2.0,807.05,8,50.0,1.88
50,2.0,782.71,3,100.0,0.0
50,3.0,781.45,2,100.0,0.0
50,4.0,772.67,2,100.0,0.0
30,2.0,772.64,5,60.0,1.29
20,2.0,770.22,6,50.0,2.49
10,3.0,769.78,6,50.0,2.56
30,3.0,760.59,4,50.0,2.67
50,1.5,756.31,5,60.0,2.03
10,4.0,751.93,6,50.0,3.52
20,3.0,747.94,5,40.0,5.16
30,1.5,747.48,7,57.14,2.29
30,4.0,742.96,4,50.0,3.85
80,1.0,740.72,2,0.0,1.24
80,1.5,740.72,2,0.0,1.24
20,1.5,737.71,9,44.44,3.48
80,2.0,730.86,2,0.0,2.55
20,4.0,730.6,5,40.0,6.31
50,1.0,725.56,7,28.57,5.15
30,1.0,721.15,9,33.33,5.15
10,1.5,721.14,14,35.71,6.31
20,1.0,718.9,11,36.36,5.15
80,3.0,712.21,2,0.0,5.04
80,4.0,704.2,2,0.0,6.11
10,1.0,700.15,17,35.29,7.73
