asset,donchian_len,atr_mult,mode,final_eq,n_trades,n_long,n_short,win_rate,max_dd,sharpe
BTC_1h_fc,30,3.0,short_only,612.3,230,0,230,30.43,51.0476,-0.062
BTC_1h_fc,20,3.0,short_only,590.2,283,0,283,29.68,53.9127,-0.0538
BTC_1h_fc,30,3.5,short_only,542.36,208,0,208,30.77,56.6314,-0.0853
BTC_1h_fc,20,3.5,short_only,523.3,254,0,254,31.89,57.5498,-0.0734
BTC_1h_fc,15,3.0,short_only,518.71,324,0,324,31.17,57.9214,-0.0609
BTC_1h_fc,30,3.0,long_only,501.07,233,233,0,29.61,50.1115,-0.1112
BTC_1h_fc,30,2.0,short_only,469.33,317,0,317,32.81,60.4885,-0.1168
BTC_1h_fc,15,3.0,ls_sma50,466.55,509,260,249,33.01,64.4988,-0.0421
BTC_1h_fc,30,3.5,long_only,459.02,210,210,0,33.33,54.5595,-0.129
BTC_1h_fc,10,3.0,long_only,455.91,378,378,0,32.54,55.54,-0.0683
BTC_1h_fc,15,3.5,short_only,454.11,288,0,288,30.9,61.0775,-0.0813
BTC_1h_fc,20,3.0,long_only,451.36,301,301,0,32.89,60.0181,-0.0992
BTC_1h_fc,30,2.5,short_only,446.41,272,0,272,29.78,61.3165,-0.1298
BTC_1h_fc,10,3.0,short_only,443.69,371,0,371,30.19,68.2854,-0.0674
BTC_1h_fc,10,3.5,long_only,441.63,326,326,0,33.74,58.378,-0.0751
BTC_1h_fc,20,2.5,short_only,431.31,337,0,337,30.86,64.1,-0.1075
BTC_1h_fc,20,3.0,ls_sma50,425.98,496,255,241,32.46,67.1716,-0.0517
BTC_1h_fc,15,3.0,long_only,414.01,335,335,0,31.04,60.9347,-0.0931
BTC_1h_fc,15,2.5,short_only,406.17,387,0,387,31.52,66.0701,-0.0963
BTC_1h_fc,30,2.5,long_only,397.57,273,273,0,29.67,60.243,-0.1507
BTC_1h_fc,10,3.5,short_only,392.99,325,0,325,29.23,71.4301,-0.0857
BTC_1h_fc,20,3.5,long_only,367.83,268,268,0,32.84,65.1458,-0.1283
BTC_1h_fc,15,3.5,long_only,340.33,297,297,0,31.65,66.6155,-0.1184
BTC_1h_fc,30,3.0,ls_sma50,330.58,449,227,222,30.51,69.078,-0.0811
BTC_1h_fc,20,2.5,long_only,328.27,355,355,0,30.7,68.9112,-0.1431
BTC_1h_fc,30,2.0,long_only,327.2,327,327,0,26.61,67.981,-0.1897
BTC_1h_fc,10,2.5,short_only,326.23,451,0,451,31.04,76.6139,-0.1006
BTC_1h_fc,30,3.5,ls_sma50,321.3,394,199,195,33.5,74.04,-0.0888
BTC_1h_fc,30,3.0,ls_sma100,319.82,418,215,203,29.9,70.9997,-0.0913
BTC_1h_fc,10,3.0,ls_sma50,316.58,530,272,258,32.08,71.3948,-0.0659
BTC_1h_fc,15,2.5,long_only,315.43,396,396,0,29.55,70.0761,-0.1273
BTC_1h_fc,20,2.0,short_only,311.19,412,0,412,30.83,72.7614,-0.1422
BTC_1h_fc,20,3.0,ls_sma200,306.2,416,208,208,31.73,70.4117,-0.0951
BTC_1h_fc,20,3.0,ls_sma100,304.04,462,238,224,32.03,73.8759,-0.0847
BTC_1h_fc,15,3.0,ls_sma100,303.86,481,247,234,31.81,74.2173,-0.0792
BTC_1h_fc,20,3.5,ls_sma200,302.51,360,178,182,31.67,72.837,-0.1027
BTC_1h_fc,15,3.5,ls_sma50,302.38,442,226,216,32.81,74.4837,-0.0797
BTC_1h_fc,30,3.5,ls_sma100,293.55,371,191,180,32.61,75.0249,-0.1041
BTC_1h_fc,15,2.0,short_only,293.44,474,0,474,29.75,74.7903,-0.1253
BTC_1h_fc,30,3.0,ls_sma200,293.23,376,189,187,29.26,71.2916,-0.1108
BTC_1h_fc,20,3.5,ls_sma50,292.15,432,223,209,33.1,75.2841,-0.0857
BTC_1h_fc,30,3.5,ls_sma200,289.71,332,166,166,30.72,74.8993,-0.1184
BTC_1h_fc,20,3.5,ls_sma100,287.33,403,207,196,33.0,74.7335,-0.096
BTC_1h_fc,15,3.5,ls_sma100,285.59,416,212,204,32.93,72.0196,-0.0917
BTC_1h_fc,10,2.5,long_only,278.68,464,464,0,29.53,72.898,-0.1154
BTC_1h_fc,15,3.5,ls_sma200,270.83,377,186,191,32.1,73.747,-0.1067
BTC_1h_fc,15,3.0,ls_sma200,267.72,439,220,219,31.21,73.228,-0.0996
BTC_1h_fc,10,2.0,short_only,256.63,559,0,559,29.87,79.9592,-0.1174
