donchian_len,atr_mult,mode,final_eq,n_trades,n_long,n_short,win_rate,avg_ret,max_dd,sharpe
10,2.5,short_only,1059.92,75,0,75,34.67,0.1138,26.5525,0.0412
10,3.0,short_only,1046.92,63,0,63,31.75,0.1211,22.3144,0.0378
20,3.0,short_only,1032.55,48,0,48,35.42,0.1132,17.2834,0.0361
20,2.5,short_only,1025.98,56,0,56,37.5,0.0771,19.0983,0.0301
20,2.0,short_only,1009.82,66,0,66,33.33,0.0463,15.4969,0.0179
10,3.5,short_only,1008.98,56,0,56,26.79,0.0748,24.5276,0.021
30,2.0,short_only,991.19,55,0,55,36.36,0.0175,16.9008,0.0066
20,3.5,short_only,985.62,44,0,44,31.82,0.0258,20.9097,0.0073
30,3.0,short_only,976.55,41,0,41,34.15,-0.015,18.5612,-0.005
10,2.0,short_only,976.18,93,0,93,33.33,0.0033,23.2682,0.0013
30,3.5,short_only,965.62,37,0,37,29.73,-0.0389,22.087,-0.0112
15,2.5,short_only,951.87,66,0,66,33.33,-0.0414,24.3704,-0.0156
30,2.5,short_only,934.27,49,0,49,32.65,-0.1111,20.0193,-0.0463
15,3.0,short_only,931.59,56,0,56,32.14,-0.0798,21.3955,-0.0254
15,2.0,short_only,930.87,79,0,79,27.85,-0.0599,22.6622,-0.0235
15,3.5,short_only,882.74,51,0,51,25.49,-0.1863,23.8199,-0.0529
30,3.5,long_short,841.2,68,32,36,30.88,-0.215,32.9752,-0.0749
30,3.5,long_only,833.72,33,33,0,30.3,-0.5287,20.5839,-0.2539
10,3.0,long_short,829.54,97,49,48,35.05,-0.1566,25.6759,-0.0574
30,3.0,long_only,819.07,36,36,0,25.0,-0.5346,21.0185,-0.275
30,2.0,long_only,818.81,49,49,0,22.45,-0.3936,23.2434,-0.2356
30,2.0,ls_sma100,814.07,92,45,47,31.52,-0.2,27.4903,-0.0903
30,2.0,long_short,809.57,104,49,55,29.81,-0.1786,31.7548,-0.0791
20,3.5,long_short,808.74,77,38,39,31.17,-0.2359,31.3306,-0.0817
30,2.5,long_only,805.59,41,41,0,26.83,-0.5063,22.8199,-0.2519
20,3.0,long_short,802.96,91,46,45,34.07,-0.2065,27.093,-0.0772
10,3.5,long_only,795.61,54,54,0,33.33,-0.3957,27.5164,-0.1685
30,3.5,ls_sma100,794.06,62,31,31,30.65,-0.3332,33.7478,-0.1174
