asset,donchian_len,atr_mult,mode,final_eq,n_trades,n_long,n_short,win_rate,max_dd,sharpe
BTC,10,2.5,short_only,1059.92,75,0,75,34.67,26.5525,0.0412
BTC,10,3.0,short_only,1046.92,63,0,63,31.75,22.3144,0.0378
BTC,20,3.0,short_only,1032.55,48,0,48,35.42,17.2834,0.0361
BTC,20,2.5,short_only,1025.98,56,0,56,37.5,19.0983,0.0301
BTC,20,2.0,short_only,1009.82,66,0,66,33.33,15.4969,0.0179
BTC,10,3.5,short_only,1008.98,56,0,56,26.79,24.5276,0.021
BTC,30,2.0,short_only,991.19,55,0,55,36.36,16.9008,0.0066
BTC,20,3.5,short_only,985.62,44,0,44,31.82,20.9097,0.0073
BTC,30,3.0,short_only,976.55,41,0,41,34.15,18.5612,-0.005
BTC,10,2.0,short_only,976.18,93,0,93,33.33,23.2682,0.0013
BTC,30,3.5,short_only,965.62,37,0,37,29.73,22.087,-0.0112
BTC,15,2.5,short_only,951.87,66,0,66,33.33,24.3704,-0.0156
BTC,30,2.5,short_only,934.27,49,0,49,32.65,20.0193,-0.0463
BTC,15,3.0,short_only,931.59,56,0,56,32.14,21.3955,-0.0254
BTC,15,2.0,short_only,930.87,79,0,79,27.85,22.6622,-0.0235
BTC,15,3.5,short_only,882.74,51,0,51,25.49,23.8199,-0.0529
BTC,30,3.5,long_only,833.72,33,33,0,30.3,20.5839,-0.2539
BTC,30,3.0,long_only,819.07,36,36,0,25.0,21.0185,-0.275
BTC,30,2.0,long_only,818.81,49,49,0,22.45,23.2434,-0.2356
BTC,30,2.5,long_only,805.59,41,41,0,26.83,22.8199,-0.2519
BTC,10,3.5,long_only,795.61,54,54,0,33.33,27.5164,-0.1685
BTC,30,2.0,ls_sma200,773.11,84,34,50,29.76,26.822,-0.128
BTC,10,3.0,long_only,768.13,63,63,0,30.16,27.974,-0.1824
BTC,15,2.5,long_only,758.06,63,63,0,26.98,29.5827,-0.2143
BTC,15,3.0,long_only,757.62,56,56,0,26.79,26.8376,-0.2337
BTC,20,3.5,ls_sma200,750.03,63,27,36,25.4,34.26,-0.1446
BTC,30,3.5,ls_sma200,747.83,58,25,33,24.14,35.603,-0.163
BTC,20,3.0,long_only,745.89,51,51,0,27.45,27.8218,-0.2955
BTC,15,3.5,long_only,745.01,50,50,0,26.0,29.2523,-0.2548
BTC,10,2.5,long_only,744.76,74,74,0,28.38,30.7249,-0.188
BTC,20,3.5,long_only,742.34,45,45,0,28.89,27.4719,-0.3096
BTC,15,2.0,long_only,737.06,78,78,0,23.08,32.2604,-0.2214
BTC,10,3.5,ls_sma200,736.15,68,27,41,23.53,35.304,-0.1341
BTC,15,2.5,ls_sma200,729.94,89,36,53,32.58,29.604,-0.1451
BTC,20,2.0,ls_sma200,729.09,99,42,57,28.28,28.442,-0.1414
BTC,30,2.5,ls_sma200,723.48,74,30,44,31.08,28.195,-0.1962
BTC,20,2.5,ls_sma200,720.81,84,36,48,34.52,30.107,-0.1717
BTC,20,2.0,long_only,717.5,69,69,0,23.19,31.6738,-0.2881
BTC,30,3.0,ls_sma200,716.39,65,28,37,29.23,30.608,-0.195
BTC,20,2.5,long_only,715.13,58,58,0,25.86,31.4576,-0.3014
BTC,10,3.0,ls_sma200,698.61,80,33,47,31.25,33.984,-0.1538
BTC,10,2.0,long_only,698.57,97,97,0,26.8,35.0789,-0.2003
BTC,15,3.5,ls_sma200,696.38,67,27,40,23.88,34.104,-0.1691
BTC,15,2.0,ls_sma200,694.72,111,45,66,27.03,33.3737,-0.1445
BTC,20,3.0,ls_sma200,689.21,73,32,41,31.51,32.791,-0.19
BTC,10,2.5,ls_sma200,676.0,97,40,57,29.9,33.894,-0.1567
BTC,15,3.0,ls_sma200,654.95,78,32,46,30.77,34.505,-0.1968
BTC,10,2.0,ls_sma200,646.8,123,52,71,27.64,35.9724,-0.1577
ETH,10,2.5,short_only,1308.44,71,0,71,32.39,24.4461,0.1023
ETH,10,3.0,short_only,1238.83,60,0,60,33.33,25.2825,0.095
ETH,10,2.0,short_only,1231.92,89,0,89,37.08,23.072,0.0828
ETH,30,2.5,short_only,1190.02,42,0,42,38.1,16.8612,0.1043
ETH,15,2.5,short_only,1174.18,62,0,62,30.65,24.4195,0.0752
ETH,30,3.0,short_only,1172.55,37,0,37,37.84,18.703,0.1067
ETH,15,3.0,short_only,1114.2,53,0,53,32.08,28.7661,0.0631
ETH,15,3.5,short_only,1110.3,46,0,46,34.78,27.9477,0.0677
ETH,20,3.0,short_only,1088.31,46,0,46,34.78,22.2407,0.0595
ETH,10,3.5,short_only,1081.53,56,0,56,32.14,28.4589,0.0509
ETH,30,3.0,long_only,1077.29,33,33,0,36.36,9.8657,0.0876
ETH,20,2.5,short_only,1069.67,54,0,54,35.19,20.0549,0.0475
ETH,20,2.0,short_only,1069.16,64,0,64,34.38,18.0836,0.0458
ETH,30,2.0,short_only,1057.26,52,0,52,34.62,17.639,0.0457
ETH,15,2.0,short_only,1055.49,78,0,78,32.05,22.0068,0.036
ETH,30,3.5,short_only,1047.88,35,0,35,34.29,21.818,0.0489
ETH,30,3.0,ls_sma200,1028.32,55,24,31,36.36,23.388,0.031
ETH,30,3.5,long_only,1009.61,30,30,0,36.67,12.957,0.0255
ETH,20,3.5,short_only,1008.68,42,0,42,33.33,22.0501,0.0264
ETH,30,2.5,long_only,994.54,40,40,0,32.5,11.7868,0.0088
ETH,20,3.0,ls_sma200,935.31,62,25,37,35.48,24.891,-0.0084
ETH,20,3.0,long_only,921.59,42,42,0,35.71,24.9792,-0.0398
ETH,30,2.0,long_only,912.08,51,51,0,37.25,21.8248,-0.0631
ETH,30,2.5,ls_sma200,907.66,67,30,37,32.84,24.855,-0.0174
ETH,30,3.5,ls_sma200,904.33,50,21,29,34.0,24.182,-0.0276
ETH,15,3.0,long_only,902.68,49,49,0,32.65,25.9991,-0.0475
ETH,15,3.5,long_only,875.93,43,43,0,32.56,26.0602,-0.0691
ETH,15,3.0,ls_sma200,867.66,68,28,40,32.35,27.067,-0.034
ETH,30,2.0,ls_sma200,857.91,81,37,44,32.1,29.11,-0.0433
ETH,15,3.5,ls_sma200,834.43,58,23,35,31.03,27.848,-0.0556
ETH,20,3.5,ls_sma200,832.11,56,22,34,33.93,26.527,-0.0604
ETH,20,3.5,long_only,828.89,39,39,0,35.9,29.1589,-0.1114
ETH,15,2.5,long_only,823.69,61,61,0,29.51,28.2289,-0.0921
ETH,20,2.5,long_only,818.39,53,53,0,28.3,26.9055,-0.1085
ETH,20,2.5,ls_sma200,815.15,78,33,45,33.33,25.014,-0.0502
ETH,20,2.0,ls_sma200,814.77,93,41,52,30.11,28.764,-0.0556
ETH,10,2.0,ls_sma200,797.55,116,53,63,31.9,29.773,-0.0457
ETH,10,3.0,ls_sma200,793.7,73,31,42,32.88,28.443,-0.0589
ETH,20,2.0,long_only,778.85,66,66,0,28.79,34.063,-0.1423
ETH,15,2.5,ls_sma200,771.06,86,37,49,30.23,28.664,-0.0622
ETH,15,2.0,long_only,766.03,77,77,0,28.57,34.8888,-0.13
ETH,10,2.5,ls_sma200,754.9,93,41,52,30.11,31.1154,-0.0597
ETH,15,2.0,ls_sma200,747.87,106,46,60,30.19,32.324,-0.0742
ETH,10,3.0,long_only,727.06,61,61,0,27.87,39.855,-0.1341
ETH,10,3.5,ls_sma200,703.8,65,27,38,30.77,31.545,-0.1077
ETH,10,3.5,long_only,703.43,53,53,0,32.08,39.5056,-0.1562
ETH,10,2.5,long_only,696.58,75,75,0,28.0,38.0629,-0.1373
ETH,10,2.0,long_only,675.46,95,95,0,29.47,40.0692,-0.1467
SOL,30,2.0,short_only,1365.63,51,0,51,37.25,17.2852,0.1717
SOL,20,3.5,short_only,1337.55,40,0,40,32.5,28.0034,0.1225
SOL,30,2.5,short_only,1316.6,44,0,44,34.09,16.6023,0.1762
SOL,30,3.5,short_only,1312.9,34,0,34,35.29,22.9444,0.1312
SOL,30,3.0,short_only,1279.69,39,0,39,41.03,18.4796,0.1728
SOL,15,2.0,short_only,1275.97,73,0,73,32.88,28.3238,0.1066
SOL,20,2.5,short_only,1264.42,54,0,54,31.48,24.0491,0.1279
SOL,15,3.0,short_only,1263.85,53,0,53,37.74,32.2095,0.1246
SOL,20,3.0,short_only,1261.85,47,0,47,36.17,28.2572,0.1343
SOL,15,3.5,short_only,1255.74,46,0,46,30.43,32.6807,0.0961
SOL,10,2.0,short_only,1255.56,88,0,88,37.5,30.0499,0.0873
SOL,10,3.5,short_only,1253.99,52,0,52,28.85,31.6807,0.0887
SOL,15,2.5,short_only,1241.21,61,0,61,34.43,27.2561,0.1102
SOL,20,2.0,short_only,1238.89,65,0,65,30.77,26.0289,0.1028
SOL,10,2.5,short_only,1150.5,75,0,75,33.33,31.4949,0.0669
SOL,10,3.0,short_only,1127.66,65,0,65,36.92,35.4593,0.0645
SOL,30,2.0,ls_sma200,900.35,80,38,42,31.25,34.772,-0.0235
SOL,20,2.0,ls_sma200,835.98,94,42,52,31.91,33.1608,-0.0428
SOL,15,2.0,ls_sma200,808.16,102,47,55,32.35,32.6282,-0.0501
SOL,30,2.5,ls_sma200,789.18,71,33,38,28.17,37.316,-0.0831
SOL,20,3.0,ls_sma200,783.47,67,29,38,32.84,37.9084,-0.0794
SOL,30,3.0,ls_sma200,775.76,61,28,33,29.51,36.83,-0.0944
SOL,15,3.0,ls_sma200,770.82,72,32,40,36.11,37.7307,-0.0791
SOL,20,3.0,long_only,763.09,48,48,0,33.33,32.3361,-0.145
SOL,30,3.5,ls_sma200,758.57,54,26,28,25.93,42.026,-0.0467
SOL,20,2.5,ls_sma200,747.91,81,36,45,27.16,37.3877,-0.0909
SOL,10,2.0,ls_sma200,746.94,114,54,60,29.82,34.5288,-0.0653
SOL,20,2.0,long_only,735.73,65,65,0,27.69,38.0307,-0.1467
SOL,10,3.0,ls_sma200,729.78,77,35,42,35.06,38.1799,-0.0938
SOL,30,2.0,long_only,722.49,51,51,0,25.49,36.2755,-0.2023
SOL,20,3.5,ls_sma200,718.07,59,27,32,25.42,42.287,-0.0555
SOL,20,2.5,long_only,716.87,57,57,0,28.07,37.2364,-0.1765
SOL,15,2.0,long_only,711.16,77,77,0,28.57,45.2513,-0.138
SOL,15,2.5,ls_sma200,707.92,88,40,48,30.68,36.2952,-0.1025
SOL,10,2.5,ls_sma200,697.34,95,43,52,29.47,37.9314,-0.0966
SOL,30,2.5,long_only,693.82,45,45,0,26.67,37.6744,-0.2573
SOL,30,3.0,long_only,689.12,39,39,0,23.08,35.1276,-0.2574
SOL,15,2.5,long_only,677.35,67,67,0,31.34,45.2147,-0.1751
SOL,15,3.5,ls_sma200,671.79,63,30,33,25.4,42.122,-0.0688
SOL,15,3.0,long_only,671.76,58,58,0,31.03,44.4361,-0.1803
SOL,20,3.5,long_only,642.25,46,46,0,30.43,39.5302,-0.241
SOL,10,2.5,long_only,630.37,78,78,0,30.77,49.7856,-0.1681
SOL,30,3.5,long_only,614.36,37,37,0,21.62,41.5574,-0.3297
SOL,10,3.5,ls_sma200,611.52,67,32,35,25.37,41.673,-0.0869
SOL,10,2.0,long_only,591.55,95,95,0,25.26,51.1723,-0.1743
SOL,10,3.0,long_only,585.7,68,68,0,27.94,52.6702,-0.2003
SOL,15,3.5,long_only,574.64,54,54,0,25.93,48.2621,-0.2577
SOL,10,3.5,long_only,499.28,62,62,0,29.03,55.8384,-0.2697
BNB,10,3.0,short_only,1164.2,60,0,60,35.0,20.7485,0.0995
BNB,10,3.5,short_only,1154.88,50,0,50,36.0,18.8554,0.0946
BNB,15,3.5,short_only,1132.64,44,0,44,36.36,16.8801,0.0916
BNB,10,2.5,short_only,1094.71,72,0,72,33.33,18.1197,0.0574
BNB,30,2.0,short_only,1084.56,54,0,54,27.78,15.292,0.0638
BNB,20,3.5,short_only,1076.86,40,0,40,35.0,18.765,0.0665
BNB,30,3.0,short_only,1075.63,40,0,40,35.0,16.611,0.0719
BNB,30,3.5,short_only,1068.22,35,0,35,40.0,14.66,0.0666
BNB,30,2.5,short_only,1067.92,46,0,46,32.61,14.111,0.0614
BNB,15,3.0,short_only,1066.22,53,0,53,35.85,22.3421,0.0542
BNB,20,3.0,short_only,1042.02,48,0,48,33.33,22.077,0.0425
BNB,15,2.5,short_only,1032.58,63,0,63,33.33,19.0582,0.031
BNB,10,2.0,short_only,1026.16,93,0,93,27.96,20.623,0.0229
BNB,20,2.5,short_only,996.16,57,0,57,33.33,18.4654,0.0111
BNB,30,2.0,ls_sma200,995.36,77,34,43,33.77,18.257,0.0094
BNB,30,3.0,ls_sma200,956.66,57,25,32,38.6,19.556,-0.0175
BNB,30,3.5,ls_sma200,943.02,50,22,28,38.0,20.004,-0.0241
BNB,20,2.0,short_only,933.19,71,0,71,28.17,18.2153,-0.0214
BNB,15,2.0,short_only,933.06,81,0,81,24.69,20.6633,-0.016
BNB,30,2.0,long_only,931.54,48,48,0,31.25,14.1556,-0.0762
BNB,30,3.0,long_only,919.17,34,34,0,38.24,14.028,-0.11
BNB,30,3.5,long_only,907.03,31,31,0,38.71,15.6711,-0.1231
BNB,30,2.5,ls_sma200,902.3,69,31,38,31.88,21.533,-0.0491
BNB,10,3.5,ls_sma200,887.75,62,29,33,37.1,27.68,-0.0486
BNB,20,3.0,ls_sma200,882.62,65,29,36,40.0,24.613,-0.0639
BNB,10,3.0,ls_sma200,872.99,76,36,40,38.16,27.973,-0.0586
BNB,30,2.5,long_only,870.55,43,43,0,30.23,19.1787,-0.165
BNB,20,3.5,ls_sma200,870.37,56,25,31,37.5,26.135,-0.0694
BNB,15,3.0,ls_sma200,861.73,69,31,38,39.13,25.868,-0.0739
BNB,15,3.5,ls_sma200,857.12,60,27,33,35.0,27.935,-0.0697
BNB,10,2.0,ls_sma200,855.4,113,52,61,31.86,24.914,-0.0449
BNB,15,2.0,long_only,820.12,75,75,0,29.33,25.3697,-0.1545
BNB,20,2.0,long_only,795.29,68,68,0,25.0,27.3476,-0.1876
BNB,15,2.0,ls_sma200,789.77,104,45,59,29.81,23.743,-0.0814
BNB,10,2.5,ls_sma200,776.81,97,48,49,34.02,31.469,-0.0984
BNB,20,2.0,ls_sma200,769.49,98,43,55,29.59,26.0817,-0.1019
BNB,15,2.5,ls_sma200,745.32,90,42,48,33.33,29.224,-0.1229
BNB,20,2.5,ls_sma200,736.06,85,40,45,32.94,27.332,-0.1438
BNB,20,3.5,long_only,723.87,45,45,0,31.11,32.3796,-0.2969
BNB,20,3.0,long_only,717.25,51,51,0,31.37,33.4962,-0.3025
BNB,15,2.5,long_only,698.33,70,70,0,28.57,35.9794,-0.2887
BNB,20,2.5,long_only,694.01,63,63,0,26.98,36.1284,-0.3055
BNB,15,3.0,long_only,688.99,58,58,0,31.03,36.3643,-0.3152
BNB,15,3.5,long_only,680.25,52,52,0,28.85,36.7003,-0.3247
BNB,10,2.0,long_only,672.67,96,96,0,30.21,39.068,-0.2314
BNB,10,3.5,long_only,618.8,62,62,0,27.42,42.5628,-0.3331
BNB,10,3.0,long_only,605.5,72,72,0,29.17,44.2157,-0.3424
BNB,10,2.5,long_only,563.13,89,89,0,26.97,48.5035,-0.346
