asset,donchian_len,atr_mult,sma_len,final_eq,n_trades,n_long,n_short,win_rate,max_dd,sharpe
BTC,30,2.0,300,864.83,72,29,43,29.17,19.673,-0.0749
BTC,30,2.5,300,843.73,61,23,38,31.15,19.757,-0.1139
BTC,30,3.0,300,834.35,53,21,32,30.19,20.456,-0.1156
BTC,30,2.0,50,825.59,101,49,52,30.69,30.0371,-0.0725
BTC,20,3.0,50,824.34,82,40,42,34.15,25.2852,-0.0763
BTC,10,3.0,50,820.33,88,42,46,34.09,23.3559,-0.0684
BTC,30,2.0,100,814.07,92,45,47,31.52,27.4903,-0.0903
BTC,30,3.0,50,801.89,75,36,39,30.67,27.5932,-0.1017
BTC,30,2.0,150,798.28,84,36,48,29.76,26.265,-0.109
BTC,20,2.5,300,797.43,74,31,43,35.14,20.855,-0.1243
BTC,10,2.5,300,788.87,88,32,56,31.82,25.581,-0.0955
BTC,20,2.0,300,776.65,89,39,50,26.97,23.774,-0.1184
BTC,30,2.0,200,773.11,84,34,50,29.76,26.822,-0.128
BTC,30,3.0,100,771.49,69,34,35,30.43,28.7313,-0.1372
BTC,30,2.5,100,767.89,80,38,42,31.25,28.2045,-0.1438
BTC,20,2.0,100,762.35,106,52,54,30.19,29.9558,-0.1108
BTC,30,2.5,50,759.51,88,41,47,30.68,31.6328,-0.1289
BTC,30,2.0,250,756.72,83,35,48,27.71,25.927,-0.1419
BTC,10,3.0,300,756.16,73,27,46,30.14,25.49,-0.1189
BTC,20,2.5,100,748.53,89,42,47,34.83,31.7771,-0.1405
BTC,20,3.0,300,744.04,64,27,37,31.25,25.596,-0.1579
BTC,30,2.5,150,743.14,74,32,42,31.08,27.319,-0.1763
BTC,20,2.0,150,735.85,100,44,56,28.0,27.778,-0.1333
BTC,10,2.5,50,730.11,111,52,59,29.73,33.9082,-0.1041
BTC,20,2.0,200,729.09,99,42,57,28.28,28.442,-0.1414
BTC,20,2.5,50,724.64,101,49,52,30.69,33.7541,-0.1293
BTC,30,2.5,200,723.48,74,30,44,31.08,28.195,-0.1962
BTC,30,3.0,150,723.21,65,29,36,30.77,30.294,-0.1859
BTC,20,2.5,200,720.81,84,36,48,34.52,30.107,-0.1717
BTC,10,2.0,300,720.64,114,47,67,26.32,29.452,-0.1186
