donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe_proxy
25,20,4.0,714146da31e0afc82ac1606ae27920d6,2536.68,8,50.0,16.9312,25.3219,0.4546
25,10,3.5,714146da31e0afc82ac1606ae27920d6,2497.32,9,44.44,14.582,25.5604,0.4252
25,14,4.0,714146da31e0afc82ac1606ae27920d6,2481.72,8,50.0,16.2804,24.53,0.4573
25,30,4.0,714146da31e0afc82ac1606ae27920d6,2137.94,9,55.56,11.087,26.2365,0.47
25,7,3.5,714146da31e0afc82ac1606ae27920d6,2117.4,10,40.0,11.4664,36.3592,0.3483
25,25,4.0,714146da31e0afc82ac1606ae27920d6,2104.88,9,55.56,10.7893,25.8333,0.469
25,20,3.5,714146da31e0afc82ac1606ae27920d6,2100.59,10,50.0,9.6088,27.8121,0.4412
25,14,3.5,714146da31e0afc82ac1606ae27920d6,2047.8,10,50.0,9.1783,26.6248,0.4407
25,7,4.0,714146da31e0afc82ac1606ae27920d6,2046.97,9,44.44,11.775,28.7183,0.369
25,10,4.0,714146da31e0afc82ac1606ae27920d6,2021.26,9,44.44,11.7961,30.1644,0.3586
20,10,3.5,714146da31e0afc82ac1606ae27920d6,1792.12,11,36.36,9.2028,39.0602,0.2778
30,20,4.0,714146da31e0afc82ac1606ae27920d6,1784.25,8,50.0,11.9013,26.3998,0.3225
30,10,3.5,714146da31e0afc82ac1606ae27920d6,1764.75,9,44.44,10.2152,29.6857,0.3024
30,14,4.0,714146da31e0afc82ac1606ae27920d6,1749.31,8,50.0,11.2921,25.6209,0.3206
20,20,4.0,714146da31e0afc82ac1606ae27920d6,1706.74,10,40.0,10.0362,41.4889,0.277
20,14,4.0,714146da31e0afc82ac1606ae27920d6,1674.18,10,40.0,9.5383,40.9772,0.2741
25,7,3.0,714146da31e0afc82ac1606ae27920d6,1650.19,13,38.46,5.6693,31.0147,0.2724
15,10,3.5,714146da31e0afc82ac1606ae27920d6,1618.91,14,35.71,7.6135,48.4604,0.2194
20,20,3.5,714146da31e0afc82ac1606ae27920d6,1599.02,12,41.67,6.2018,41.0646,0.2665
20,14,3.5,714146da31e0afc82ac1606ae27920d6,1562.41,12,41.67,5.8462,40.1885,0.2614
20,30,4.0,714146da31e0afc82ac1606ae27920d6,1552.77,11,45.45,6.7678,41.4438,0.2662
15,7,3.0,714146da31e0afc82ac1606ae27920d6,1544.47,18,33.33,4.5677,38.889,0.1974
15,7,3.5,714146da31e0afc82ac1606ae27920d6,1535.55,15,33.33,6.6402,50.7713,0.2014
25,20,1.0,714146da31e0afc82ac1606ae27920d6,1528.62,36,38.89,1.5865,27.9041,0.1646
20,7,3.5,714146da31e0afc82ac1606ae27920d6,1527.88,12,33.33,7.0894,47.6081,0.2239
20,25,4.0,714146da31e0afc82ac1606ae27920d6,1520.05,11,45.45,6.4752,41.547,0.2597
20,14,1.5,714146da31e0afc82ac1606ae27920d6,1505.2,26,38.46,2.3166,22.8979,0.1761
25,10,1.0,714146da31e0afc82ac1606ae27920d6,1502.95,35,40.0,1.5757,28.6418,0.1631
30,30,4.0,714146da31e0afc82ac1606ae27920d6,1501.17,9,55.56,6.5794,27.3018,0.303
8,14,1.0,714146da31e0afc82ac1606ae27920d6,1498.73,58,37.93,1.1461,44.8781,0.1117
25,7,1.5,714146da31e0afc82ac1606ae27920d6,1497.96,24,45.83,2.3356,25.9067,0.1921
30,7,3.5,714146da31e0afc82ac1606ae27920d6,1497.44,10,40.0,7.5551,39.9083,0.2357
8,20,1.0,714146da31e0afc82ac1606ae27920d6,1495.39,58,37.93,1.145,45.4863,0.1112
20,25,1.5,714146da31e0afc82ac1606ae27920d6,1492.51,27,37.04,2.2389,28.2812,0.1685
25,14,1.0,714146da31e0afc82ac1606ae27920d6,1491.76,36,41.67,1.5132,28.1445,0.1581
20,20,1.0,714146da31e0afc82ac1606ae27920d6,1484.57,38,39.47,1.453,31.8248,0.1496
30,25,4.0,714146da31e0afc82ac1606ae27920d6,1479.1,9,55.56,6.2971,26.9032,0.2988
30,20,3.5,714146da31e0afc82ac1606ae27920d6,1476.88,10,50.0,5.6358,31.8057,0.2807
20,20,1.5,714146da31e0afc82ac1606ae27920d6,1455.74,27,37.04,2.1379,28.3897,0.1618
