donchian_len,atr_len,atr_mult,csv_md5,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe
30,25,3.0,4c259467e927290e346f667b39a665db,861.23,34,29.41,-0.4182,17.1562,-0.204
30,10,3.5,4c259467e927290e346f667b39a665db,859.99,32,31.25,-0.4503,20.5332,-0.2208
30,14,1.0,4c259467e927290e346f667b39a665db,858.67,71,29.58,-0.2085,17.7498,-0.1894
30,10,1.0,4c259467e927290e346f667b39a665db,852.28,71,28.17,-0.2191,18.3172,-0.2019
30,7,1.0,4c259467e927290e346f667b39a665db,850.24,71,26.76,-0.2211,18.9447,-0.1832
30,20,3.5,4c259467e927290e346f667b39a665db,849.13,32,31.25,-0.4873,19.4234,-0.2257
25,10,3.5,4c259467e927290e346f667b39a665db,842.77,35,28.57,-0.4695,18.8111,-0.2422
30,20,1.0,4c259467e927290e346f667b39a665db,842.2,72,29.17,-0.2323,19.3919,-0.2107
30,30,2.0,4c259467e927290e346f667b39a665db,839.56,47,25.53,-0.3578,22.6132,-0.2137
10,7,4.0,4c259467e927290e346f667b39a665db,838.84,48,33.33,-0.3392,25.672,-0.1458
30,7,4.0,4c259467e927290e346f667b39a665db,838.38,29,27.59,-0.5841,19.5094,-0.273
25,20,1.0,4c259467e927290e346f667b39a665db,834.68,79,29.11,-0.223,19.3513,-0.2114
30,20,2.0,4c259467e927290e346f667b39a665db,834.21,48,25.0,-0.3628,22.2468,-0.2129
30,7,2.0,4c259467e927290e346f667b39a665db,834.15,47,27.66,-0.3707,22.0363,-0.215
30,14,3.5,4c259467e927290e346f667b39a665db,833.72,33,30.3,-0.5287,20.5839,-0.2539
30,10,4.0,4c259467e927290e346f667b39a665db,830.58,29,27.59,-0.616,20.0006,-0.2873
25,14,1.0,4c259467e927290e346f667b39a665db,828.67,80,28.75,-0.2293,19.8524,-0.2189
30,14,1.5,4c259467e927290e346f667b39a665db,827.35,59,18.64,-0.3104,22.4415,-0.2126
30,25,2.0,4c259467e927290e346f667b39a665db,825.91,48,25.0,-0.3848,23.5134,-0.2365
30,7,1.5,4c259467e927290e346f667b39a665db,824.58,57,19.3,-0.3273,21.8937,-0.2219
30,30,1.0,4c259467e927290e346f667b39a665db,824.27,74,25.68,-0.255,21.1962,-0.2327
25,10,1.0,4c259467e927290e346f667b39a665db,823.93,80,27.5,-0.2366,20.2344,-0.2292
25,30,1.0,4c259467e927290e346f667b39a665db,823.36,80,26.25,-0.2372,21.2833,-0.2246
30,20,3.0,4c259467e927290e346f667b39a665db,823.31,36,25.0,-0.5196,20.6188,-0.2617
25,7,1.0,4c259467e927290e346f667b39a665db,822.22,80,26.25,-0.238,20.3335,-0.2076
30,25,1.0,4c259467e927290e346f667b39a665db,821.35,74,25.68,-0.2597,21.4347,-0.2375
25,7,4.0,4c259467e927290e346f667b39a665db,821.18,32,28.12,-0.5938,18.9934,-0.291
30,20,2.5,4c259467e927290e346f667b39a665db,820.85,40,27.5,-0.4714,21.4421,-0.2268
25,30,2.0,4c259467e927290e346f667b39a665db,820.3,52,26.92,-0.3682,21.6987,-0.2338
30,20,1.5,4c259467e927290e346f667b39a665db,819.88,60,21.67,-0.3222,22.2609,-0.2477
30,14,3.0,4c259467e927290e346f667b39a665db,819.07,36,25.0,-0.5346,21.0185,-0.275
30,14,2.0,4c259467e927290e346f667b39a665db,818.81,49,22.45,-0.3936,23.2434,-0.2356
12,7,4.0,4c259467e927290e346f667b39a665db,818.33,46,32.61,-0.4101,25.5184,-0.1816
30,30,3.0,4c259467e927290e346f667b39a665db,816.0,35,28.57,-0.5556,21.7659,-0.2516
30,10,1.5,4c259467e927290e346f667b39a665db,815.8,59,16.95,-0.3342,22.8648,-0.2298
25,14,3.5,4c259467e927290e346f667b39a665db,814.21,36,27.78,-0.5504,20.0485,-0.2778
25,20,3.5,4c259467e927290e346f667b39a665db,813.97,36,27.78,-0.5502,18.9418,-0.2703
30,30,4.0,4c259467e927290e346f667b39a665db,813.79,29,27.59,-0.6811,20.5035,-0.2878
10,10,3.5,4c259467e927290e346f667b39a665db,813.62,54,33.33,-0.3553,28.402,-0.1539
25,25,1.0,4c259467e927290e346f667b39a665db,813.33,81,25.93,-0.2494,21.4649,-0.2376
10,10,4.0,4c259467e927290e346f667b39a665db,810.92,48,31.25,-0.4087,27.7586,-0.1733
25,10,4.0,4c259467e927290e346f667b39a665db,810.03,32,28.12,-0.6362,20.0049,-0.3116
30,7,3.5,4c259467e927290e346f667b39a665db,807.28,33,30.3,-0.6217,25.5272,-0.2733
30,14,2.5,4c259467e927290e346f667b39a665db,805.59,41,26.83,-0.5063,22.8199,-0.2519
30,30,1.5,4c259467e927290e346f667b39a665db,805.38,61,22.95,-0.3457,23.2681,-0.2615
25,14,1.5,4c259467e927290e346f667b39a665db,804.99,66,19.7,-0.3189,22.6261,-0.231
25,20,2.0,4c259467e927290e346f667b39a665db,803.78,54,25.93,-0.3913,22.0252,-0.245
25,7,1.5,4c259467e927290e346f667b39a665db,803.57,64,20.31,-0.3316,22.6347,-0.2373
30,25,1.5,4c259467e927290e346f667b39a665db,802.8,61,22.95,-0.351,23.307,-0.2667
30,10,2.0,4c259467e927290e346f667b39a665db,801.43,50,24.0,-0.429,23.7422,-0.2641
30,20,4.0,4c259467e927290e346f667b39a665db,800.86,30,26.67,-0.7134,23.0098,-0.3188
30,14,4.0,4c259467e927290e346f667b39a665db,799.8,30,26.67,-0.7193,22.9206,-0.3316
25,7,3.5,4c259467e927290e346f667b39a665db,797.97,36,27.78,-0.6029,23.5428,-0.2815
25,20,1.5,4c259467e927290e346f667b39a665db,796.37,67,22.39,-0.3319,22.0094,-0.2698
12,10,4.0,4c259467e927290e346f667b39a665db,796.15,46,32.61,-0.4692,27.1462,-0.2062
10,14,3.5,4c259467e927290e346f667b39a665db,795.61,54,33.33,-0.3957,27.5164,-0.1685
25,25,2.0,4c259467e927290e346f667b39a665db,795.03,54,25.93,-0.4126,22.8867,-0.2707
25,10,1.5,4c259467e927290e346f667b39a665db,794.61,66,18.18,-0.3385,23.5746,-0.2458
30,10,2.5,4c259467e927290e346f667b39a665db,793.8,42,26.19,-0.5297,23.9196,-0.2705
25,25,3.0,4c259467e927290e346f667b39a665db,791.66,40,27.5,-0.5645,21.937,-0.2939
25,7,2.0,4c259467e927290e346f667b39a665db,791.02,54,25.93,-0.4205,23.0533,-0.2596
30,30,2.5,4c259467e927290e346f667b39a665db,790.75,42,26.19,-0.5382,24.0387,-0.2702
25,30,4.0,4c259467e927290e346f667b39a665db,790.43,32,28.12,-0.708,22.7854,-0.3154
25,30,1.5,4c259467e927290e346f667b39a665db,790.38,67,22.39,-0.3428,23.6237,-0.274
25,14,2.0,4c259467e927290e346f667b39a665db,789.36,55,21.82,-0.4172,23.3847,-0.2659
30,25,4.0,4c259467e927290e346f667b39a665db,789.01,30,26.67,-0.7609,22.9287,-0.3277
30,25,2.5,4c259467e927290e346f667b39a665db,787.94,42,26.19,-0.5468,24.3006,-0.2763
25,30,3.0,4c259467e927290e346f667b39a665db,786.86,39,28.21,-0.5927,24.1274,-0.2911
10,20,3.0,4c259467e927290e346f667b39a665db,785.4,62,30.65,-0.3657,26.4503,-0.1675
