donchian_len,atr_mult,sma,final_eq,n_trades,win_rate,avg_ret,max_dd,sharpe
30,2.0,SMA200,875.65,34,29.41,-0.3798,13.053,-0.2633
30,3.5,SMA250,863.59,24,25.0,-0.5928,14.88,-0.32
30,3.5,SMA200,862.19,25,28.0,-0.5755,15.018,-0.3157
30,2.5,SMA200,859.69,30,33.33,-0.487,14.031,-0.2692
10,3.5,SMA250,859.36,28,28.57,-0.5216,17.186,-0.2676
15,2.5,SMA200,854.14,36,33.33,-0.4224,16.193,-0.2432
10,2.5,SMA250,854.13,39,33.33,-0.3877,16.6602,-0.2143
30,2.0,SMA250,853.04,35,25.71,-0.4439,15.298,-0.3217
30,2.5,SMA250,845.09,30,30.0,-0.5443,15.491,-0.3057
15,2.5,SMA250,845.05,36,33.33,-0.4524,16.932,-0.2638
15,3.5,SMA250,840.89,27,25.93,-0.624,17.395,-0.3444
15,3.5,SMA200,834.15,28,28.57,-0.6301,18.208,-0.3515
30,3.5,no_filter,833.72,33,30.3,-0.5287,20.5839,-0.2539
10,2.5,SMA200,831.29,41,31.71,-0.4336,18.917,-0.2381
30,2.0,SMA150,831.25,36,25.0,-0.5019,16.875,-0.3452
10,3.5,SMA200,830.04,30,30.0,-0.6007,20.158,-0.3081
30,3.5,SMA50,826.4,33,30.3,-0.5561,20.8652,-0.2729
30,3.0,SMA200,824.7,28,25.0,-0.6709,17.53,-0.3784
30,3.0,SMA250,823.43,27,18.52,-0.7015,17.657,-0.3907
10,3.0,SMA250,823.26,34,23.53,-0.5539,19.63,-0.2993
30,3.0,no_filter,819.07,36,25.0,-0.5346,21.0185,-0.275
30,2.0,no_filter,818.81,49,22.45,-0.3936,23.2434,-0.2356
20,3.5,SMA250,817.6,27,25.93,-0.7268,19.414,-0.3943
20,2.5,SMA200,816.99,36,33.33,-0.5455,18.729,-0.3156
20,3.5,SMA200,816.27,28,28.57,-0.7065,19.544,-0.3886
15,2.0,SMA200,816.13,45,26.67,-0.4418,18.897,-0.3298
15,3.0,SMA250,815.6,32,21.88,-0.6207,20.139,-0.3606
30,3.5,SMA150,812.84,26,30.77,-0.7779,18.716,-0.4274
15,2.0,SMA250,812.65,46,26.09,-0.442,19.094,-0.3441
30,2.0,SMA100,812.04,45,24.44,-0.4511,21.0216,-0.3063
