fold,label,is_eq,is_tr,oos_eq,oos_tr,oos_long,oos_short,oos_wr,oos_dd,oos_profitable
1,long_only,762.02,56,944.76,7,7,0,14.29,5.524,False
1,short_only,806.19,50,1236.38,7,0,7,71.43,2.4198,True
1,long_short,623.37,90,1147.49,13,6,7,38.46,8.1611,True
1,ls_sma200,650.99,65,976.75,2,0,2,50.0,2.42,False
1,ls_sma200_d30,749.28,43,978.1,1,0,1,0.0,2.19,False
2,long_only,707.58,53,958.12,10,10,0,30.0,8.6121,False
2,short_only,1008.63,49,886.65,10,0,10,20.0,11.5252,False
2,long_short,702.1,90,864.84,17,8,9,23.53,15.5479,False
2,ls_sma200,900.47,59,949.29,4,2,2,0.0,5.071,False
2,ls_sma200_d30,976.79,40,958.68,3,2,1,0.0,4.132,False
3,long_only,700.02,53,1093.13,6,6,0,66.67,2.3416,True
3,short_only,922.53,50,961.09,8,0,8,50.0,6.7211,False
3,long_short,661.98,91,1007.61,13,6,7,38.46,6.5052,True
3,ls_sma200,870.25,58,1026.65,2,2,0,50.0,2.3419,True
3,ls_sma200_d30,932.99,38,1031.29,1,1,0,100.0,0.0,True
4,long_only,789.31,48,1023.8,8,8,0,37.5,3.7338,True
4,short_only,988.56,49,988.37,8,0,8,37.5,4.389,False
4,long_short,777.04,86,980.79,16,8,8,31.25,6.9879,False
4,ls_sma200,981.69,53,1009.91,4,3,1,50.0,0.8507,True
4,ls_sma200_d30,1087.9,34,1018.3,3,2,1,66.67,0.0277,True
5,long_only,828.92,46,936.02,8,8,0,12.5,6.398,False
5,short_only,1117.22,47,1011.79,9,0,9,33.33,3.4459,True
5,long_short,891.49,84,901.63,17,8,9,11.76,9.837,False
5,ls_sma200,971.89,54,965.54,4,0,4,25.0,3.446,False
5,ls_sma200_d30,1044.76,38,974.33,2,0,2,0.0,2.567,False
