fold,label,is_eq,is_tr,oos_eq,oos_tr,oos_wr,oos_dd,oos_profitable
1,don10_m3.5,909.85,27,952.62,4,25.0,8.151,False
1,don12_m3.5,894.99,27,979.19,3,33.33,4.293,False
1,don10_m2.0,762.02,56,944.76,7,14.29,5.524,False
1,don30_m3.5,898.05,18,938.43,2,0.0,6.157,False
2,don10_m3.5,859.03,26,926.55,7,14.29,9.6939,False
2,don12_m3.5,870.21,25,895.92,7,14.29,10.408,False
2,don10_m2.0,707.58,53,958.12,10,30.0,8.6121,False
2,don30_m3.5,864.24,16,976.3,3,33.33,2.6998,False
3,don10_m3.5,780.18,27,1075.45,4,75.0,2.6602,True
3,don12_m3.5,762.48,26,1054.25,4,75.0,2.6597,True
3,don10_m2.0,700.02,53,1093.13,6,66.67,2.3416,True
3,don30_m3.5,886.14,16,1029.04,3,100.0,0.0,True
4,don10_m3.5,836.84,26,1069.28,3,66.67,1.579,True
4,don12_m3.5,792.23,25,1069.28,3,66.67,1.579,True
4,don10_m2.0,789.31,48,1023.8,8,37.5,3.7338,True
4,don30_m3.5,915.2,14,1070.4,2,100.0,0.0,True
5,don10_m3.5,878.04,25,928.47,6,16.67,7.153,False
5,don12_m3.5,842.98,24,924.85,6,16.67,7.515,False
5,don10_m2.0,828.92,46,936.02,8,12.5,6.398,False
5,don30_m3.5,984.89,12,924.26,4,0.0,7.574,False
