fold,label,is_eq,is_tr,oos_eq,oos_tr,oos_wr,oos_dd,oos_profitable
1,no_filter,762.02,56,944.76,7,14.29,5.524,False
1,SMA100_d10_m2,819.68,37,955.93,3,0.0,4.407,False
1,SMA200_d10_m2,863.25,31,1000.0,0,0.0,0.0,False
1,SMA100_d10_m3.5,870.18,20,974.49,1,0.0,2.551,False
1,SMA200_d30_m3.5,904.19,14,1000.0,0,0.0,0.0,False
2,no_filter,707.58,53,958.12,10,30.0,8.6121,False
2,SMA100_d10_m2,795.09,33,929.89,6,0.0,7.011,False
2,SMA200_d10_m2,880.77,26,970.88,3,0.0,2.912,False
2,SMA100_d10_m3.5,876.78,17,898.46,5,0.0,10.154,False
2,SMA200_d30_m3.5,948.83,12,958.84,2,0.0,4.116,False
3,no_filter,700.02,53,1093.13,6,66.67,2.3416,True
3,SMA100_d10_m2,794.76,34,1000.69,5,40.0,3.212,True
3,SMA200_d10_m2,870.32,25,1026.65,2,50.0,2.3419,True
3,SMA100_d10_m3.5,824.04,18,999.98,3,33.33,3.383,False
3,SMA200_d30_m3.5,975.1,9,1015.32,1,100.0,0.0,True
4,no_filter,789.31,48,1023.8,8,37.5,3.7338,True
4,SMA100_d10_m2,830.41,29,1014.41,5,40.0,2.135,True
4,SMA200_d10_m2,929.84,20,1001.17,3,33.33,0.8507,True
4,SMA100_d10_m3.5,803.11,18,1031.32,2,100.0,0.0,True
4,SMA200_d30_m3.5,981.42,8,1013.88,1,100.0,0.0,True
5,no_filter,828.92,46,936.02,8,12.5,6.398,False
5,SMA100_d10_m2,842.54,29,947.9,4,0.0,5.21,False
5,SMA200_d10_m2,931.37,22,1000.0,0,0.0,0.0,False
5,SMA100_d10_m3.5,850.34,16,907.58,4,0.0,9.242,False
5,SMA200_d30_m3.5,1006.68,9,1000.0,0,0.0,0.0,False
