asset,fold,label,is_eq,oos_eq,oos_tr,oos_long,oos_short,oos_wr,oos_dd,oos_profitable
BTC_1d,1,long_only,1480.83,739.69,5,5,0,0.0,26.031,False
BTC_1d,1,short_only,715.54,793.68,6,0,6,16.67,20.632,False
BTC_1d,1,ls_sma50,1255.33,789.26,5,1,4,20.0,21.074,False
BTC_1d,1,ls_sma100,1361.64,790.76,3,0,3,0.0,20.924,False
BTC_1d,1,ls_sma200,1105.17,1000.0,0,0,0,0.0,0.0,False
BTC_1d,2,long_only,1069.03,1004.69,5,5,0,40.0,7.9288,True
BTC_1d,2,short_only,707.96,936.03,4,0,4,25.0,7.628,False
BTC_1d,2,ls_sma50,980.46,868.37,6,4,2,16.67,13.163,False
BTC_1d,2,ls_sma100,642.27,891.0,3,2,1,0.0,10.9,False
BTC_1d,2,ls_sma200,602.28,1000.0,0,0,0,0.0,0.0,False
BTC_1d,3,long_only,971.06,867.11,4,4,0,50.0,15.0022,False
BTC_1d,3,short_only,833.5,1324.86,4,0,4,50.0,5.3003,True
BTC_1d,3,ls_sma50,786.94,1238.16,4,1,3,50.0,7.7002,True
BTC_1d,3,ls_sma100,825.04,1239.59,1,0,1,100.0,0.0,True
BTC_1d,3,ls_sma200,622.32,1000.0,0,0,0,0.0,0.0,False
ETH_1d,1,long_only,1252.41,549.65,6,6,0,0.0,45.035,False
ETH_1d,1,short_only,739.2,869.17,2,0,2,0.0,13.083,False
ETH_1d,1,ls_sma50,951.9,946.92,1,0,1,0.0,5.308,False
ETH_1d,1,ls_sma100,986.01,1000.0,0,0,0,0.0,0.0,False
ETH_1d,1,ls_sma200,1122.87,1000.0,0,0,0,0.0,0.0,False
ETH_1d,2,long_only,641.55,1371.52,5,5,0,60.0,10.9038,True
ETH_1d,2,short_only,668.2,693.91,4,0,4,0.0,30.609,False
ETH_1d,2,ls_sma50,869.76,1164.04,5,4,1,40.0,11.673,True
ETH_1d,2,ls_sma100,539.34,873.88,3,3,0,33.33,12.612,False
ETH_1d,2,ls_sma200,647.01,1000.0,0,0,0,0.0,0.0,False
ETH_1d,3,long_only,1089.49,720.72,5,5,0,0.0,27.928,False
ETH_1d,3,short_only,995.1,1113.38,2,0,2,50.0,7.6363,True
ETH_1d,3,ls_sma50,1598.57,919.68,3,1,2,33.33,11.0724,False
ETH_1d,3,ls_sma100,1409.96,925.39,1,1,0,0.0,7.461,False
ETH_1d,3,ls_sma200,1191.04,1000.0,0,0,0,0.0,0.0,False
