asset,fold,label,is_eq,oos_eq,oos_tr,oos_long,oos_short,oos_wr,oos_dd,oos_profitable
BTC_1h_fc,1,long_only,459.22,753.49,103,103,0,24.27,24.8988,False
BTC_1h_fc,1,short_only,467.28,691.05,96,0,96,25.0,36.1587,False
BTC_1h_fc,1,ls_sma50,303.98,544.66,157,88,69,23.57,45.859,False
BTC_1h_fc,1,ls_sma100,300.21,566.99,144,83,61,21.53,44.8824,False
BTC_1h_fc,1,ls_sma200,245.3,605.68,128,81,47,21.88,39.794,False
BTC_1h_fc,2,long_only,488.0,674.34,98,98,0,25.51,32.566,False
BTC_1h_fc,2,short_only,393.3,802.51,100,0,100,29.0,20.9007,False
BTC_1h_fc,2,ls_sma50,261.16,609.49,150,74,76,30.0,39.051,False
BTC_1h_fc,2,ls_sma100,254.9,693.5,129,59,70,29.46,32.596,False
BTC_1h_fc,2,ls_sma200,247.73,752.76,115,49,66,29.57,25.706,False
BTC_1h_fc,3,long_only,394.81,713.18,96,96,0,28.12,35.0786,False
BTC_1h_fc,3,short_only,460.88,999.2,92,0,92,34.78,23.268,False
BTC_1h_fc,3,ls_sma50,190.16,632.42,144,72,72,26.39,39.7074,False
BTC_1h_fc,3,ls_sma100,193.58,631.31,132,64,68,27.27,38.225,False
BTC_1h_fc,3,ls_sma200,230.31,631.59,125,53,72,27.2,37.118,False
ETH_1h_fc,1,long_only,475.54,1102.21,97,97,0,30.93,20.3906,True
ETH_1h_fc,1,short_only,675.61,875.23,85,0,85,34.12,32.8214,False
ETH_1h_fc,1,ls_sma50,386.49,938.71,143,76,67,31.47,25.8221,False
ETH_1h_fc,1,ls_sma100,316.58,865.4,131,69,62,29.01,36.0198,False
ETH_1h_fc,1,ls_sma200,385.81,872.38,117,69,48,23.93,39.3065,False
ETH_1h_fc,2,long_only,663.67,770.21,94,94,0,30.85,36.6921,False
ETH_1h_fc,2,short_only,566.57,794.83,96,0,96,28.12,24.5343,False
ETH_1h_fc,2,ls_sma50,401.32,672.15,150,77,73,30.0,43.6716,False
ETH_1h_fc,2,ls_sma100,350.74,735.39,127,63,64,27.56,44.1197,False
ETH_1h_fc,2,ls_sma200,439.67,618.74,124,55,69,25.81,45.0614,False
ETH_1h_fc,3,long_only,723.01,675.77,95,95,0,29.47,40.0682,False
ETH_1h_fc,3,short_only,583.31,1255.3,89,0,89,38.2,23.0724,True
ETH_1h_fc,3,ls_sma50,363.09,767.78,143,75,68,32.17,30.0107,False
ETH_1h_fc,3,ls_sma100,307.82,901.35,119,59,60,31.09,28.1878,False
ETH_1h_fc,3,ls_sma200,354.15,804.28,116,52,64,31.9,28.693,False
