asset,fold,label,is_eq,is_tr,oos_eq,oos_tr,oos_long,oos_short,oos_wr,oos_dd,oos_profitable
BTC,1,long_only,762.02,56,944.76,7,7,0,14.29,5.524,False
BTC,1,short_only,806.19,50,1236.38,7,0,7,71.43,2.4198,True
BTC,1,ls_sma200,650.99,65,976.75,2,0,2,50.0,2.42,False
BTC,2,long_only,707.58,53,958.12,10,10,0,30.0,8.6121,False
BTC,2,short_only,1008.63,49,886.65,10,0,10,20.0,11.5252,False
BTC,2,ls_sma200,900.47,59,949.29,4,2,2,0.0,5.071,False
BTC,3,long_only,700.02,53,1093.13,6,6,0,66.67,2.3416,True
BTC,3,short_only,922.53,50,961.09,8,0,8,50.0,6.7211,False
BTC,3,ls_sma200,870.25,58,1026.65,2,2,0,50.0,2.3419,True
BTC,4,long_only,789.31,48,1023.8,8,8,0,37.5,3.7338,True
BTC,4,short_only,988.56,49,988.37,8,0,8,37.5,4.389,False
BTC,4,ls_sma200,981.69,53,1009.91,4,3,1,50.0,0.8507,True
BTC,5,long_only,828.92,46,936.02,8,8,0,12.5,6.398,False
BTC,5,short_only,1117.22,47,1011.79,9,0,9,33.33,3.4459,True
BTC,5,ls_sma200,971.89,54,965.54,4,0,4,25.0,3.446,False
ETH,1,long_only,774.35,49,885.36,7,7,0,28.57,11.464,False
ETH,1,short_only,931.83,44,1327.9,6,0,6,66.67,6.0372,True
ETH,1,ls_sma200,710.5,57,943.26,3,0,3,33.33,6.037,False
ETH,2,long_only,660.72,46,945.11,11,11,0,18.18,8.6153,False
ETH,2,short_only,1209.14,44,930.68,10,0,10,30.0,8.732,False
ETH,2,ls_sma200,1018.1,52,978.8,4,0,4,50.0,4.013,False
ETH,3,long_only,683.94,47,1048.85,9,9,0,55.56,4.9563,True
ETH,3,short_only,1130.28,46,989.64,7,0,7,57.14,5.0751,False
ETH,3,ls_sma200,1188.14,47,1018.8,2,2,0,50.0,2.9539,True
ETH,4,long_only,793.49,43,1009.14,10,10,0,40.0,6.3921,True
ETH,4,short_only,1270.66,44,956.83,8,0,8,25.0,7.109,False
ETH,4,ls_sma200,1298.68,45,937.37,4,3,1,25.0,6.6085,False
ETH,5,long_only,817.38,45,942.6,9,9,0,22.22,7.229,False
ETH,5,short_only,1394.24,44,999.96,8,0,8,25.0,6.2329,False
ETH,5,ls_sma200,1125.33,51,925.71,6,2,4,16.67,8.891,False
SOL,1,long_only,635.71,54,851.38,8,8,0,12.5,14.862,False
SOL,1,short_only,871.86,44,1300.17,6,0,6,66.67,5.4744,True
SOL,1,ls_sma200,702.09,55,948.25,3,0,3,33.33,5.474,False
SOL,2,long_only,576.86,51,976.53,9,9,0,33.33,10.3797,False
SOL,2,short_only,1092.92,44,996.44,8,0,8,37.5,7.138,False
SOL,2,ls_sma200,1118.08,47,997.79,5,2,3,40.0,6.735,False
SOL,3,long_only,622.06,50,1181.81,6,6,0,50.0,2.5709,True
SOL,3,short_only,1139.02,46,979.07,7,0,7,42.86,5.4331,False
SOL,3,ls_sma200,1249.8,47,1004.49,2,2,0,50.0,2.2756,True
SOL,4,long_only,792.34,44,1002.8,9,9,0,22.22,5.1985,True
SOL,4,short_only,1321.05,42,944.08,9,0,9,33.33,7.978,False
SOL,4,ls_sma200,1363.55,44,940.82,5,3,2,20.0,6.0777,False
SOL,5,long_only,857.3,42,965.75,7,7,0,42.86,3.425,False
SOL,5,short_only,1586.57,41,999.84,9,0,9,44.44,5.9717,False
SOL,5,ls_sma200,1218.24,49,931.91,4,0,4,0.0,6.809,False
BNB,1,long_only,875.96,49,854.28,8,8,0,0.0,14.572,False
BNB,1,short_only,860.09,46,1210.28,8,0,8,37.5,3.1257,True
BNB,1,ls_sma200,767.65,57,968.74,3,0,3,0.0,3.126,False
BNB,2,long_only,736.14,48,978.83,9,9,0,33.33,4.5314,False
BNB,2,short_only,1091.0,45,911.6,11,0,11,18.18,12.966,False
BNB,2,ls_sma200,1084.03,48,1012.36,4,1,3,50.0,3.45,True
BNB,3,long_only,757.49,48,1061.4,7,7,0,57.14,2.9747,True
BNB,3,short_only,1074.37,46,958.43,7,0,7,14.29,5.0665,False
BNB,3,ls_sma200,1021.8,54,994.33,2,2,0,50.0,1.8886,False
BNB,4,long_only,811.59,44,942.84,12,12,0,33.33,6.283,False
BNB,4,short_only,1140.44,44,967.66,8,0,8,37.5,5.58,False
BNB,4,ls_sma200,1200.08,46,991.29,3,2,1,33.33,2.516,False
BNB,5,long_only,790.0,45,925.34,10,10,0,30.0,7.658,False
BNB,5,short_only,1250.9,43,996.74,9,0,9,22.22,3.3346,False
BNB,5,ls_sma200,1151.03,49,978.27,4,0,4,0.0,2.173,False
