asset,fold,label,is_eq,oos_eq,oos_tr,oos_long,oos_short,oos_wr,oos_dd,oos_profitable
ETH_1d,1,ls_sma100_r0,975.06,1000.0,0,0,0,0.0,0.0,False
ETH_1d,1,ls_sma100_r0.5%,1809.14,1000.0,0,0,0,0.0,0.0,False
ETH_1d,1,long_only,972.69,899.68,1,1,0,0.0,10.032,False
ETH_1d,1,short_only,833.28,819.44,2,0,2,0.0,18.056,False
ETH_1d,2,ls_sma100_r0,637.27,873.88,3,3,0,33.33,12.612,False
ETH_1d,2,ls_sma100_r0.5%,1230.15,1065.15,3,3,0,33.33,0.518,True
ETH_1d,2,long_only,837.14,1198.13,5,5,0,60.0,10.9038,True
ETH_1d,2,short_only,695.58,951.48,1,0,1,0.0,4.852,False
ETH_1d,3,ls_sma100_r0,1551.75,925.39,1,1,0,0.0,7.461,False
ETH_1d,3,ls_sma100_r0.5%,2649.29,994.79,1,1,0,0.0,0.521,False
ETH_1d,3,long_only,1174.99,788.38,3,3,0,0.0,21.162,False
ETH_1d,3,short_only,1349.15,1205.43,1,0,1,100.0,0.0,True
SOL_1d,1,ls_sma100_r0,2658.09,997.41,1,0,1,0.0,0.259,False
SOL_1d,1,ls_sma100_r0.5%,4366.2,997.41,1,0,1,0.0,0.259,False
SOL_1d,1,long_only,3501.35,871.87,1,1,0,0.0,12.813,False
SOL_1d,1,short_only,887.61,1026.31,4,0,4,25.0,21.134,True
SOL_1d,2,ls_sma100_r0,613.04,786.43,2,1,1,0.0,21.357,False
SOL_1d,2,ls_sma100_r0.5%,1324.78,990.34,2,1,1,0.0,0.966,False
SOL_1d,2,long_only,1265.73,867.32,4,4,0,25.0,14.338,False
SOL_1d,2,short_only,894.99,834.39,3,0,3,0.0,16.561,False
SOL_1d,3,ls_sma100_r0,520.38,1000.0,0,0,0,0.0,0.0,False
SOL_1d,3,ls_sma100_r0.5%,1353.6,1000.0,0,0,0,0.0,0.0,False
SOL_1d,3,long_only,1005.78,852.42,2,2,0,0.0,14.758,False
SOL_1d,3,short_only,803.75,1174.43,2,0,2,50.0,8.7446,True
BNB_1d,1,ls_sma100_r0,847.61,967.73,1,0,1,0.0,3.227,False
BNB_1d,1,ls_sma100_r0.5%,2038.02,994.65,1,0,1,0.0,0.535,False
BNB_1d,1,long_only,810.44,750.55,3,3,0,0.0,24.945,False
BNB_1d,1,short_only,769.96,970.34,3,0,3,33.33,7.445,False
BNB_1d,2,ls_sma100_r0,514.32,1000.0,0,0,0,0.0,0.0,False
BNB_1d,2,ls_sma100_r0.5%,1153.74,1000.0,0,0,0,0.0,0.0,False
BNB_1d,2,long_only,684.72,1157.72,2,2,0,50.0,2.29,True
BNB_1d,2,short_only,800.7,884.97,2,0,2,0.0,11.503,False
BNB_1d,3,ls_sma100_r0,595.8,1000.0,0,0,0,0.0,0.0,False
BNB_1d,3,ls_sma100_r0.5%,1207.51,1000.0,0,0,0,0.0,0.0,False
BNB_1d,3,long_only,747.45,843.84,2,2,0,0.0,15.616,False
BNB_1d,3,short_only,779.66,929.09,2,0,2,50.0,13.693,False
