asset,fold,label,is_eq,oos_eq,oos_tr,oos_long,oos_short,oos_wr,oos_dd,oos_profitable
BTC,1,regime_best,830.93,1000.0,0,0,0,0.0,0.0,False
BTC,1,regime_sma200,650.99,976.75,2,0,2,50.0,2.42,False
BTC,1,short_only,806.19,1236.38,7,0,7,71.43,2.4198,True
BTC,1,long_only,762.02,944.76,7,7,0,14.29,5.524,False
BTC,2,regime_best,1058.39,1000.0,0,0,0,0.0,0.0,False
BTC,2,regime_sma200,900.47,949.29,4,2,2,0.0,5.071,False
BTC,2,short_only,1008.63,886.65,10,0,10,20.0,11.5252,False
BTC,2,long_only,707.58,958.12,10,10,0,30.0,8.6121,False
BTC,3,regime_best,1002.78,1000.0,0,0,0,0.0,0.0,False
BTC,3,regime_sma200,870.25,1026.65,2,2,0,50.0,2.3419,True
BTC,3,short_only,922.53,961.09,8,0,8,50.0,6.7211,False
BTC,3,long_only,700.02,1093.13,6,6,0,66.67,2.3416,True
BTC,4,regime_best,1072.92,1000.0,0,0,0,0.0,0.0,False
BTC,4,regime_sma200,981.69,1009.91,4,3,1,50.0,0.8507,True
BTC,4,short_only,988.56,988.37,8,0,8,37.5,4.389,False
BTC,4,long_only,789.31,1023.8,8,8,0,37.5,3.7338,True
BTC,5,regime_best,1069.25,1000.0,0,0,0,0.0,0.0,False
BTC,5,regime_sma200,971.89,965.54,4,0,4,25.0,3.446,False
BTC,5,short_only,1117.22,1011.79,9,0,9,33.33,3.4459,True
BTC,5,long_only,828.92,936.02,8,8,0,12.5,6.398,False
ETH,1,regime_best,889.21,950.25,5,1,4,20.0,5.408,False
ETH,1,regime_sma200,710.5,943.26,3,0,3,33.33,6.037,False
ETH,1,short_only,931.83,1327.9,6,0,6,66.67,6.0372,True
ETH,1,long_only,774.35,885.36,7,7,0,28.57,11.464,False
ETH,2,regime_best,1048.73,979.74,6,3,3,33.33,6.4815,False
ETH,2,regime_sma200,1018.1,978.8,4,0,4,50.0,4.013,False
ETH,2,short_only,1209.14,930.68,10,0,10,30.0,8.732,False
ETH,2,long_only,660.72,945.11,11,11,0,18.18,8.6153,False
ETH,3,regime_best,1150.78,922.96,5,4,1,40.0,8.154,False
ETH,3,regime_sma200,1188.14,1018.8,2,2,0,50.0,2.9539,True
ETH,3,short_only,1130.28,989.64,7,0,7,57.14,5.0751,False
ETH,3,long_only,683.94,1048.85,9,9,0,55.56,4.9563,True
ETH,4,regime_best,1183.8,1058.1,4,3,1,50.0,3.2842,True
ETH,4,regime_sma200,1298.68,937.37,4,3,1,25.0,6.6085,False
ETH,4,short_only,1270.66,956.83,8,0,8,25.0,7.109,False
ETH,4,long_only,793.49,1009.14,10,10,0,40.0,6.3921,True
ETH,5,regime_best,1324.47,990.25,6,3,3,33.33,3.069,False
ETH,5,regime_sma200,1125.33,925.71,6,2,4,16.67,8.891,False
ETH,5,short_only,1394.24,999.96,8,0,8,25.0,6.2329,False
ETH,5,long_only,817.38,942.6,9,9,0,22.22,7.229,False
SOL,1,regime_best,884.56,1000.0,0,0,0,0.0,0.0,False
SOL,1,regime_sma200,702.09,948.25,3,0,3,33.33,5.474,False
SOL,1,short_only,871.86,1300.17,6,0,6,66.67,5.4744,True
SOL,1,long_only,635.71,851.38,8,8,0,12.5,14.862,False
SOL,2,regime_best,1306.92,1000.0,0,0,0,0.0,0.0,False
SOL,2,regime_sma200,1118.08,997.79,5,2,3,40.0,6.735,False
SOL,2,short_only,1092.92,996.44,8,0,8,37.5,7.138,False
SOL,2,long_only,576.86,976.53,9,9,0,33.33,10.3797,False
SOL,3,regime_best,1415.87,1000.0,0,0,0,0.0,0.0,False
SOL,3,regime_sma200,1249.8,1004.49,2,2,0,50.0,2.2756,True
SOL,3,short_only,1139.02,979.07,7,0,7,42.86,5.4331,False
SOL,3,long_only,622.06,1181.81,6,6,0,50.0,2.5709,True
SOL,4,regime_best,1535.16,1000.0,0,0,0,0.0,0.0,False
SOL,4,regime_sma200,1363.55,940.82,5,3,2,20.0,6.0777,False
SOL,4,short_only,1321.05,944.08,9,0,9,33.33,7.978,False
SOL,4,long_only,792.34,1002.8,9,9,0,22.22,5.1985,True
SOL,5,regime_best,1232.86,1000.0,0,0,0,0.0,0.0,False
SOL,5,regime_sma200,1218.24,931.91,4,0,4,0.0,6.809,False
SOL,5,short_only,1586.57,999.84,9,0,9,44.44,5.9717,False
SOL,5,long_only,857.3,965.75,7,7,0,42.86,3.425,False
BNB,1,regime_best,999.6,1000.0,0,0,0,0.0,0.0,False
BNB,1,regime_sma200,767.65,968.74,3,0,3,0.0,3.126,False
BNB,1,short_only,860.09,1210.28,8,0,8,37.5,3.1257,True
BNB,1,long_only,875.96,854.28,8,8,0,0.0,14.572,False
BNB,2,regime_best,1259.31,1000.0,0,0,0,0.0,0.0,False
BNB,2,regime_sma200,1084.03,1012.36,4,1,3,50.0,3.45,True
BNB,2,short_only,1091.0,911.6,11,0,11,18.18,12.966,False
BNB,2,long_only,736.14,978.83,9,9,0,33.33,4.5314,False
BNB,3,regime_best,1235.81,1000.0,0,0,0,0.0,0.0,False
BNB,3,regime_sma200,1021.8,994.33,2,2,0,50.0,1.8886,False
BNB,3,short_only,1074.37,958.43,7,0,7,14.29,5.0665,False
BNB,3,long_only,757.49,1061.4,7,7,0,57.14,2.9747,True
BNB,4,regime_best,1142.11,1000.0,0,0,0,0.0,0.0,False
BNB,4,regime_sma200,1200.08,991.29,3,2,1,33.33,2.516,False
BNB,4,short_only,1140.44,967.66,8,0,8,37.5,5.58,False
BNB,4,long_only,811.59,942.84,12,12,0,33.33,6.283,False
BNB,5,regime_best,1090.38,1000.0,0,0,0,0.0,0.0,False
BNB,5,regime_sma200,1151.03,978.27,4,0,4,0.0,2.173,False
BNB,5,short_only,1250.9,996.74,9,0,9,22.22,3.3346,False
BNB,5,long_only,790.0,925.34,10,10,0,30.0,7.658,False
